pnt* 233 583 red red
x : 612.000000 y : 10.000000
x : 618.000000 y : 10.000000
x : 624.000000 y : 10.000000
x : 582.000000 y : 16.250000
x : 582.000000 y : 22.500000
x : 582.000000 y : 28.750000
x : 582.000000 y : 35.000000
x : 582.000000 y : 41.250000
x : 582.000000 y : 47.500000
x : 582.000000 y : 53.750000
x : 588.000000 y : 53.750000
x : 594.000000 y : 53.750000
x : 600.000000 y : 53.750000
x : 606.000000 y : 53.750000
x : 612.000000 y : 53.750000
x : 618.000000 y : 53.750000
x : 624.000000 y : 53.750000
x : 640.000000 y : 10.000000
x : 646.000000 y : 10.000000
x : 652.000000 y : 10.000000
x : 658.000000 y : 10.000000
x : 664.000000 y : 10.000000
x : 670.000000 y : 10.000000
x : 634.000000 y : 16.250000
x : 676.000000 y : 16.250000
x : 634.000000 y : 22.500000
x : 676.000000 y : 22.500000
x : 634.000000 y : 28.750000
x : 676.000000 y : 28.750000
x : 634.000000 y : 35.000000
x : 676.000000 y : 35.000000
x : 634.000000 y : 41.250000
x : 676.000000 y : 41.250000
x : 634.000000 y : 47.500000
x : 676.000000 y : 47.500000
x : 640.000000 y : 53.750000
x : 646.000000 y : 53.750000
x : 652.000000 y : 53.750000
x : 658.000000 y : 53.750000
x : 664.000000 y : 53.750000
x : 670.000000 y : 53.750000
x : 686.000000 y : 10.000000
x : 692.000000 y : 10.000000
x : 686.000000 y : 16.250000
x : 692.000000 y : 16.250000
x : 686.000000 y : 22.500000
x : 692.000000 y : 22.500000
x : 686.000000 y : 28.750000
x : 692.000000 y : 28.750000
x : 686.000000 y : 35.000000
x : 692.000000 y : 35.000000
x : 686.000000 y : 41.250000
x : 692.000000 y : 41.250000
x : 728.000000 y : 41.250000
x : 686.000000 y : 47.500000
x : 692.000000 y : 47.500000
x : 722.000000 y : 47.500000
x : 728.000000 y : 47.500000
x : 686.000000 y : 53.750000
x : 692.000000 y : 53.750000
x : 698.000000 y : 53.750000
x : 704.000000 y : 53.750000
x : 710.000000 y : 53.750000
x : 716.000000 y : 53.750000
x : 722.000000 y : 53.750000
x : 728.000000 y : 53.750000
x : 744.000000 y : 10.000000
x : 750.000000 y : 10.000000
x : 756.000000 y : 10.000000
x : 762.000000 y : 10.000000
x : 768.000000 y : 10.000000
x : 774.000000 y : 10.000000
x : 738.000000 y : 16.250000
x : 780.000000 y : 16.250000
x : 738.000000 y : 22.500000
x : 780.000000 y : 22.500000
x : 738.000000 y : 28.750000
x : 780.000000 y : 28.750000
x : 738.000000 y : 35.000000
x : 780.000000 y : 35.000000
x : 738.000000 y : 41.250000
x : 780.000000 y : 41.250000
x : 738.000000 y : 47.500000
x : 780.000000 y : 47.500000
x : 744.000000 y : 53.750000
x : 750.000000 y : 53.750000
x : 756.000000 y : 53.750000
x : 762.000000 y : 53.750000
x : 768.000000 y : 53.750000
x : 774.000000 y : 53.750000
x : 790.000000 y : 10.000000
x : 796.000000 y : 10.000000
x : 802.000000 y : 10.000000
x : 808.000000 y : 10.000000
x : 814.000000 y : 10.000000
x : 820.000000 y : 10.000000
x : 826.000000 y : 10.000000
x : 790.000000 y : 16.250000
x : 832.000000 y : 16.250000
x : 790.000000 y : 22.500000
x : 832.000000 y : 22.500000
x : 790.000000 y : 28.750000
x : 796.000000 y : 28.750000
x : 802.000000 y : 28.750000
x : 808.000000 y : 28.750000
x : 814.000000 y : 28.750000
x : 820.000000 y : 28.750000
x : 826.000000 y : 28.750000
x : 790.000000 y : 35.000000
x : 814.000000 y : 35.000000
x : 790.000000 y : 41.250000
x : 820.000000 y : 41.250000
x : 790.000000 y : 47.500000
x : 826.000000 y : 47.500000
x : 790.000000 y : 53.750000
x : 832.000000 y : 53.750000
x : 900.000000 y : 10.000000
x : 906.000000 y : 10.000000
x : 912.000000 y : 10.000000
x : 918.000000 y : 10.000000
x : 924.000000 y : 10.000000
x : 930.000000 y : 10.000000
x : 894.000000 y : 16.250000
x : 936.000000 y : 16.250000
x : 894.000000 y : 22.500000
x : 936.000000 y : 22.500000
x : 894.000000 y : 28.750000
x : 936.000000 y : 28.750000
x : 894.000000 y : 35.000000
x : 900.000000 y : 35.000000
x : 906.000000 y : 35.000000
x : 912.000000 y : 35.000000
x : 918.000000 y : 35.000000
x : 924.000000 y : 35.000000
x : 930.000000 y : 35.000000
x : 894.000000 y : 41.250000
x : 894.000000 y : 47.500000
x : 894.000000 y : 53.750000
x : 952.000000 y : 10.000000
x : 958.000000 y : 10.000000
x : 964.000000 y : 10.000000
x : 970.000000 y : 10.000000
x : 976.000000 y : 10.000000
x : 982.000000 y : 10.000000
x : 946.000000 y : 16.250000
x : 988.000000 y : 16.250000
x : 946.000000 y : 22.500000
x : 988.000000 y : 22.500000
x : 946.000000 y : 28.750000
x : 988.000000 y : 28.750000
x : 946.000000 y : 35.000000
x : 952.000000 y : 35.000000
x : 958.000000 y : 35.000000
x : 964.000000 y : 35.000000
x : 970.000000 y : 35.000000
x : 976.000000 y : 35.000000
x : 982.000000 y : 35.000000
x : 988.000000 y : 35.000000
x : 946.000000 y : 41.250000
x : 988.000000 y : 41.250000
x : 946.000000 y : 47.500000
x : 988.000000 y : 47.500000
x : 946.000000 y : 53.750000
x : 988.000000 y : 53.750000
x : 998.000000 y : 10.000000
x : 1040.000000 y : 10.000000
x : 998.000000 y : 16.250000
x : 1040.000000 y : 16.250000
x : 998.000000 y : 22.500000
x : 1040.000000 y : 22.500000
x : 998.000000 y : 28.750000
x : 1040.000000 y : 28.750000
x : 998.000000 y : 35.000000
x : 1040.000000 y : 35.000000
x : 998.000000 y : 41.250000
x : 1040.000000 y : 41.250000
x : 998.000000 y : 47.500000
x : 1040.000000 y : 47.500000
x : 1004.000000 y : 53.750000
x : 1010.000000 y : 53.750000
x : 1016.000000 y : 53.750000
x : 1022.000000 y : 53.750000
x : 1028.000000 y : 53.750000
x : 1034.000000 y : 53.750000
x : 1050.000000 y : 10.000000
x : 1056.000000 y : 10.000000
x : 1050.000000 y : 16.250000
x : 1056.000000 y : 16.250000
x : 1050.000000 y : 22.500000
x : 1056.000000 y : 22.500000
x : 1050.000000 y : 28.750000
x : 1056.000000 y : 28.750000
x : 1050.000000 y : 35.000000
x : 1056.000000 y : 35.000000
x : 1050.000000 y : 41.250000
x : 1056.000000 y : 41.250000
x : 1092.000000 y : 41.250000
x : 1050.000000 y : 47.500000
x : 1056.000000 y : 47.500000
x : 1086.000000 y : 47.500000
x : 1092.000000 y : 47.500000
x : 1050.000000 y : 53.750000
x : 1056.000000 y : 53.750000
x : 1062.000000 y : 53.750000
x : 1068.000000 y : 53.750000
x : 1074.000000 y : 53.750000
x : 1080.000000 y : 53.750000
x : 1086.000000 y : 53.750000
x : 1092.000000 y : 53.750000
x : 1102.000000 y : 10.000000
x : 1108.000000 y : 10.000000
x : 1114.000000 y : 10.000000
x : 1120.000000 y : 10.000000
x : 1126.000000 y : 10.000000
x : 1132.000000 y : 10.000000
x : 1138.000000 y : 10.000000
x : 1144.000000 y : 10.000000
x : 1102.000000 y : 16.250000
x : 1120.000000 y : 16.250000
x : 1126.000000 y : 16.250000
x : 1144.000000 y : 16.250000
x : 1120.000000 y : 22.500000
x : 1126.000000 y : 22.500000
x : 1120.000000 y : 28.750000
